"Year","aou","speciestotal","routeID"
1971,5090,9,12404015
1974,5090,4,12404015
1978,4860,1,12404015
1984,4860,1,12404015
1987,4860,11,12404015
1989,4860,2,12404015
1992,4860,4,12404015
1993,4860,6,12404015
1994,4860,6,12404015
1995,4860,7,12404015
1996,4860,9,12404015
1998,4860,25,12404015
1999,4860,11,12404015
2000,4860,8,12404015
2001,4860,24,12404015
2002,4860,9,12404015
2003,4860,7,12404015
2004,4860,23,12404015
2007,4860,17,12404015
2008,4860,10,12404015
2009,4860,15,12404015
2010,4860,13,12404015
2012,4860,9,12404015
2013,4860,12,12404015
2014,4860,4,12404015
1977,4860,3,12404016
1978,4860,3,12404016
1980,4860,3,12404016
1981,4860,5,12404016
1982,4860,13,12404016
1983,4860,9,12404016
1984,4860,23,12404016
1985,4860,7,12404016
1987,4860,8,12404016
1988,4860,14,12404016
1989,4860,5,12404016
1990,4860,10,12404016
1991,4860,23,12404016
1992,4860,11,12404016
1993,4860,4,12404016
1994,4860,17,12404016
1995,4860,16,12404016
1996,4860,21,12404016
1997,4860,16,12404016
1998,4860,28,12404016
1999,4860,23,12404016
2000,4860,14,12404016
2001,4860,14,12404016
2002,4860,8,12404016
2003,4860,10,12404016
1977,4860,1,12404017
1981,4860,3,12404017
1982,4860,3,12404017
1983,4860,4,12404017
1984,4860,1,12404017
1985,4860,4,12404017
1987,4860,3,12404017
1988,4860,8,12404017
1989,4860,4,12404017
1990,4860,4,12404017
1991,4860,3,12404017
1992,4860,6,12404017
1993,4860,2,12404017
1994,4860,5,12404017
1995,4860,2,12404017
1996,4860,3,12404017
1997,4860,8,12404017
1998,4860,3,12404017
1999,4860,3,12404017
2000,4860,4,12404017
2001,4860,5,12404017
2002,4860,4,12404017
2003,4860,9,12404017
2004,4860,6,12404017
2005,4860,2,12404017
2006,4860,7,12404017
2007,4860,1,12404017
2008,4860,6,12404017
2010,4860,7,12404017
2011,4860,5,12404017
2012,4860,1,12404017
2014,4860,2,12404017
2015,4860,1,12404017
2016,4860,1,12404017
2001,4860,1,12404019
2003,4860,1,12404019
2010,4860,3,12404019
2011,4860,4,12404019
2013,4860,3,12404019
2015,4860,1,12404019
2000,5090,5,12404020
2004,4860,6,12404020
2005,4860,2,12404020
2008,4860,1,12404020
2009,4860,3,12404020
2010,4860,2,12404020
2012,4860,6,12404020
2013,4860,10,12404020
2014,4860,12,12404020
2015,4860,10,12404020
2016,4860,8,12404020
1981,4860,2,12404022
1986,4860,1,12404022
1987,4860,2,12404022
1988,4860,1,12404022
1989,4860,5,12404022
1990,4860,1,12404022
1991,4860,2,12404022
1992,4860,7,12404022
1993,4860,5,12404022
1994,4860,4,12404022
1995,4860,5,12404022
1996,4860,1,12404022
1997,4860,1,12404022
1998,4860,3,12404022
1999,4860,5,12404022
2000,4860,4,12404022
2001,4860,11,12404022
2002,4860,1,12404022
2003,4860,2,12404022
2004,4860,9,12404022
2005,4860,25,12404022
2006,4860,15,12404022
2007,4860,14,12404022
2008,4860,6,12404022
2009,4860,17,12404022
2010,4860,10,12404022
2011,4860,2,12404022
2012,4860,6,12404022
2013,4860,9,12404022
2014,4860,1,12404022
2015,4860,4,12404022
2016,4860,12,12404022
1973,4860,2,12404023
1974,4860,2,12404023
1975,4860,1,12404023
1977,4860,13,12404023
1977,5090,2,12404023
1973,4860,3,12404024
1974,4860,10,12404024
1975,4860,7,12404024
1975,5090,1,12404024
1976,4860,4,12404024
1978,4860,15,12404024
1979,4860,15,12404024
1980,4860,8,12404024
1981,4860,1,12404024
1982,4860,6,12404024
1983,4860,1,12404024
1984,4860,6,12404024
1985,4860,7,12404024
1986,4860,7,12404024
1987,4860,3,12404024
1988,4860,3,12404024
1989,4860,10,12404024
1990,4860,6,12404024
1991,4860,2,12404024
1992,4860,12,12404024
1993,4860,8,12404024
1994,4860,9,12404024
1995,4860,4,12404024
1996,4860,7,12404024
1997,4860,13,12404024
1998,4860,10,12404024
1999,4860,4,12404024
2000,4860,15,12404024
2001,4860,2,12404024
2003,4860,9,12404024
2004,4860,8,12404024
2005,4860,3,12404024
2010,4860,10,12404024
2011,4860,2,12404024
2012,4860,3,12404024
2013,4860,7,12404024
2014,4860,2,12404024
1974,4860,1,12404025
1976,4860,4,12404025
1977,4860,4,12404025
1979,4860,1,12404025
1980,4860,3,12404025
1983,4860,3,12404025
1984,4860,2,12404025
1989,4860,17,12404025
1990,4860,1,12404025
1991,4860,3,12404025
1992,4860,1,12404025
1997,4860,3,12404025
1998,4860,8,12404025
1999,4860,7,12404025
2000,4860,10,12404025
2001,4860,2,12404025
2002,4860,4,12404025
2003,4860,3,12404025
2004,4860,4,12404025
2005,4860,2,12404025
2007,4860,2,12404025
2012,4860,4,12404025
2013,4860,2,12404025
2014,4860,1,12404025
2015,4860,7,12404025
2016,4860,6,12404025
2005,4860,2,12404026
2008,4860,3,12404026
2009,4860,1,12404026
2010,4860,1,12404026
2011,4860,5,12404026
2012,4860,1,12404026
2013,4860,1,12404026
2015,4860,10,12404026
2016,4860,8,12404026
2003,4860,2,12404027
2012,4860,1,12404027
1995,4860,1,12404028
1999,4860,3,12404028
2000,4860,5,12404028
2001,4860,3,12404028
2002,4860,8,12404028
2003,4860,2,12404028
2004,4860,9,12404028
2005,4860,3,12404028
2006,4860,15,12404028
2007,4860,12,12404028
2009,4860,1,12404028
2010,4860,10,12404028
2011,4860,7,12404028
2012,4860,2,12404028
2015,4860,5,12404028
2016,4860,5,12404028
1995,4860,1,12404029
1998,4860,9,12404029
1999,4860,1,12404029
2000,4860,1,12404029
2001,4860,2,12404029
2002,4860,6,12404029
2003,4860,1,12404029
2004,4860,2,12404029
2005,4860,7,12404029
2008,4860,6,12404029
2009,4860,16,12404029
2010,4860,20,12404029
2011,4860,11,12404029
2012,4860,17,12404029
2013,4860,19,12404029
2014,4860,71,12404029
2015,4860,22,12404029
2016,4860,19,12404029
1969,5090,3,12404030
1987,4860,1,12404030
1988,4860,6,12404030
1989,4860,2,12404030
1990,4860,2,12404030
1991,4860,2,12404030
1993,4860,4,12404030
1994,4860,4,12404030
1995,4860,4,12404030
1995,5090,1,12404030
1996,4860,7,12404030
2001,4860,4,12404030
2002,4860,19,12404030
2003,4860,15,12404030
2004,4860,2,12404030
2005,4860,5,12404030
2006,4860,13,12404030
2007,4860,8,12404030
2008,4860,2,12404030
2009,4860,19,12404030
2010,4860,11,12404030
2011,4860,8,12404030
2012,4860,12,12404030
2013,4860,9,12404030
2014,4860,41,12404030
2016,4860,16,12404030
1981,4860,1,12404031
1987,4860,2,12404031
1994,4860,5,12404031
1995,4860,5,12404031
1996,4860,3,12404031
1997,4860,8,12404031
1998,4860,6,12404031
1999,4860,9,12404031
2000,4860,3,12404031
2001,4860,7,12404031
2002,4860,20,12404031
2003,4860,31,12404031
2007,4860,21,12404031
2008,4860,21,12404031
2009,4860,24,12404031
2010,4860,28,12404031
2016,4860,6,12404031
1973,4860,3,12404032
1982,4860,4,12404032
1984,4860,4,12404032
1985,4860,1,12404032
1987,4860,8,12404032
1988,4860,11,12404032
1989,4860,1,12404032
1990,4860,6,12404032
1991,4860,3,12404032
1992,4860,3,12404032
1993,4860,2,12404032
1995,4860,3,12404032
1996,4860,5,12404032
1997,4860,2,12404032
1998,4860,1,12404032
1999,4860,3,12404032
2000,4860,1,12404032
2001,4860,2,12404032
2002,4860,2,12404032
2002,5090,1,12404032
2003,4860,1,12404032
2003,5090,1,12404032
2007,4860,3,12404032
2008,4860,7,12404032
2008,5090,2,12404032
2009,4860,6,12404032
2009,5090,2,12404032
1989,4860,15,12404033
1992,4860,12,12404033
1993,4860,5,12404033
1994,4860,16,12404033
1995,4860,12,12404033
1996,4860,14,12404033
1997,4860,12,12404033
1998,4860,20,12404033
1999,4860,13,12404033
2000,4860,29,12404033
2001,4860,56,12404033
2006,4860,12,12404033
2007,4860,12,12404033
2008,4860,15,12404033
2009,4860,31,12404033
2010,4860,22,12404033
2011,4860,22,12404033
2012,4860,13,12404033
2013,4860,26,12404033
2014,4860,22,12404033
2015,4860,14,12404033
2016,4860,11,12404033
1974,4860,3,12404034
1992,4860,5,12404034
1993,4860,3,12404034
1994,4860,4,12404034
1995,4860,6,12404034
1996,4860,6,12404034
1997,4860,7,12404034
1998,4860,18,12404034
1999,4860,12,12404034
2000,4860,24,12404034
2001,4860,36,12404034
2008,4860,10,12404034
2009,4860,12,12404034
2010,4860,5,12404034
2011,4860,3,12404034
2012,4860,12,12404034
2013,4860,7,12404034
2014,4860,9,12404034
2015,4860,13,12404034
2016,4860,5,12404034
1988,5090,1,12404036
1995,4860,5,12404036
2000,4860,5,12404036
2005,4860,1,12404036
2006,4860,1,12404036
2008,4860,1,12404036
2009,4860,2,12404036
2011,4860,3,12404036
2004,4860,9,12404037
2005,4860,2,12404037
2006,4860,2,12404037
2007,4860,2,12404037
2008,4860,3,12404037
2010,4860,7,12404037
2011,4860,8,12404037
2012,4860,11,12404037
2013,4860,3,12404037
2014,4860,15,12404037
2015,4860,21,12404037
2016,4860,1,12404037
1992,4860,1,12404038
1993,4860,2,12404038
1978,4860,2,12404039
1982,4860,1,12404039
1983,4860,1,12404039
1986,4860,2,12404039
1988,4860,3,12404039
1990,4860,2,12404039
1991,4860,39,12404039
1992,4860,16,12404039
1993,4860,8,12404039
1994,4860,6,12404039
1995,4860,7,12404039
1996,4860,5,12404039
1997,4860,10,12404039
1982,4860,6,12404040
1985,4860,2,12404040
1986,4860,2,12404040
1987,4860,7,12404040
1988,4860,4,12404040
1989,4860,1,12404040
1990,4860,1,12404040
1991,4860,8,12404040
1992,4860,11,12404040
1993,4860,9,12404040
1994,4860,11,12404040
1995,4860,6,12404040
1996,4860,1,12404040
1997,4860,13,12404040
1998,4860,12,12404040
1999,4860,10,12404040
2000,4860,21,12404040
2001,4860,14,12404040
2002,4860,19,12404040
2003,4860,28,12404040
2004,4860,21,12404040
2005,4860,28,12404040
2006,4860,19,12404040
2007,4860,13,12404040
2008,4860,17,12404040
2009,4860,20,12404040
2010,4860,15,12404040
2011,4860,15,12404040
2012,4860,22,12404040
2013,4860,19,12404040
2014,4860,22,12404040
2015,4860,20,12404040
2016,4860,22,12404040
1973,4860,11,12404041
1973,5090,3,12404041
1974,4860,11,12404041
1995,4860,5,12404042
1996,4860,7,12404042
1997,4860,7,12404042
1998,4860,1,12404042
1999,4860,3,12404042
2000,4860,2,12404042
2001,4860,8,12404042
2003,4860,1,12404042
2007,4860,8,12404042
2008,4860,3,12404042
2009,4860,10,12404042
2010,4860,2,12404042
2011,4860,8,12404042
2012,4860,3,12404042
2013,4860,5,12404042
2014,4860,4,12404042
2015,4860,2,12404042
2016,4860,3,12404042
2001,4860,2,12404043
2003,4860,11,12404043
2010,4860,8,12404043
2012,4860,7,12404043
1975,4860,1,12404044
2001,4860,11,12404044
2004,4860,5,12404044
2005,4860,7,12404044
2008,4860,7,12404044
2010,4860,5,12404044
2011,4860,3,12404044
2013,4860,7,12404044
2014,4860,8,12404044
2015,4860,1,12404044
2016,4860,4,12404044
2001,4860,13,12404046
2005,4860,17,12404046
1973,4860,19,12404048
1992,4860,13,12404049
1993,4860,14,12404049
1994,4860,3,12404049
1995,4860,3,12404049
1996,4860,2,12404049
1998,4860,5,12404049
1999,4860,7,12404049
2000,4860,31,12404049
2002,4860,4,12404049
2003,4860,4,12404049
2005,4860,2,12404049
2006,4860,5,12404049
2007,4860,12,12404049
2008,4860,3,12404049
2009,4860,7,12404049
2012,4860,3,12404049
1978,4860,3,12404050
1981,4860,6,12404050
1985,4860,7,12404050
1985,5090,1,12404050
1986,4860,7,12404050
1987,4860,2,12404050
1988,4860,6,12404050
1989,4860,5,12404050
1990,4860,2,12404050
1991,4860,8,12404050
1992,4860,14,12404050
1994,4860,9,12404050
1995,4860,8,12404050
1996,4860,4,12404050
1998,4860,10,12404050
1999,4860,7,12404050
2001,4860,11,12404050
2002,4860,7,12404050
2003,4860,7,12404050
2004,4860,7,12404050
2004,5090,1,12404050
2006,4860,6,12404050
2007,4860,7,12404050
2007,5090,1,12404050
2008,4860,1,12404050
2009,4860,5,12404050
2010,4860,8,12404050
2011,4860,6,12404050
2012,4860,9,12404050
2013,4860,2,12404050
2014,4860,9,12404050
2016,4860,6,12404050
2016,5090,1,12404050
1978,4860,1,12404051
1985,4860,7,12404051
1974,5090,16,12404053
1975,5090,2,12404053
1985,4860,1,12404053
1974,5090,5,12404054
1996,4860,13,12404054
1997,4860,14,12404054
1999,4860,4,12404054
2000,4860,5,12404054
2001,4860,25,12404054
2004,4860,38,12404054
2005,4860,19,12404054
2007,4860,29,12404054
1974,5090,16,12404055
1983,4860,2,12404055
1986,4860,3,12404055
1987,4860,2,12404055
1991,4860,2,12404055
1992,4860,3,12404055
1996,4860,1,12404055
1997,4860,1,12404055
1998,4860,1,12404055
1999,4860,6,12404055
2000,4860,9,12404055
2001,4860,1,12404055
2002,4860,8,12404055
2003,4860,6,12404055
2004,4860,8,12404055
2005,4860,2,12404055
2006,4860,6,12404055
2007,4860,1,12404055
2008,4860,16,12404055
2009,4860,5,12404055
2010,4860,29,12404055
2011,4860,26,12404055
2012,4860,42,12404055
2013,4860,5,12404055
2014,4860,7,12404055
2016,4860,9,12404055
1980,4860,4,12404057
1981,4860,10,12404057
1992,4860,7,12404062
1993,4860,5,12404062
1994,4860,13,12404062
1995,4860,11,12404062
1996,4860,16,12404062
1997,4860,14,12404062
1998,4860,16,12404062
1999,4860,7,12404062
2000,4860,18,12404062
2001,4860,13,12404062
2002,4860,15,12404062
2003,4860,17,12404062
2004,4860,12,12404062
2005,4860,11,12404062
2006,4860,23,12404062
2007,4860,10,12404062
2008,4860,5,12404062
2009,4860,12,12404062
2010,4860,1,12404062
2016,4860,4,12404062
1993,4860,1,12404063
1996,4860,5,12404063
1997,4860,8,12404063
1998,4860,2,12404063
1999,4860,6,12404063
2000,4860,5,12404063
2001,4860,11,12404063
2002,4860,8,12404063
2003,4860,6,12404063
2004,4860,10,12404063
2005,4860,21,12404063
2006,4860,24,12404063
2007,4860,18,12404063
2008,4860,31,12404063
2009,4860,25,12404063
2010,4860,23,12404063
2011,4860,50,12404063
2012,4860,25,12404063
2013,4860,21,12404063
2014,4860,27,12404063
2015,4860,15,12404063
2016,4860,21,12404063
1994,4860,2,12404077
1995,4860,3,12404077
1996,4860,1,12404077
1997,4860,9,12404077
1998,4860,30,12404077
1999,4860,11,12404077
2000,4860,11,12404077
2001,4860,5,12404077
2002,4860,5,12404077
2004,4860,6,12404077
2005,4860,11,12404077
2006,4860,8,12404077
2007,4860,3,12404077
2008,4860,6,12404077
2009,4860,8,12404077
2010,4860,12,12404077
2011,4860,1,12404077
2012,4860,6,12404077
2013,4860,3,12404077
2015,4860,7,12404077
2016,4860,4,12404077
1997,4860,1,12404078
1998,4860,1,12404078
1999,4860,3,12404078
2000,4860,17,12404078
2001,4860,1,12404078
2002,4860,1,12404078
2004,4860,3,12404078
2006,4860,7,12404078
2007,4860,4,12404078
2009,4860,5,12404078
2011,4860,1,12404078
2013,4860,1,12404078
2014,4860,3,12404078
2015,4860,1,12404078
2016,4860,1,12404078
2002,4860,7,12404079
2004,4860,1,12404079
2006,4860,1,12404079
2007,4860,4,12404079
2008,4860,5,12404079
2009,4860,4,12404079
2010,4860,5,12404079
2011,4860,1,12404079
1991,4860,2,12404096
1992,4860,4,12404096
1993,4860,5,12404096
1995,4860,5,12404096
1996,4860,5,12404096
1997,4860,9,12404096
1998,4860,6,12404096
1999,4860,11,12404096
2000,4860,3,12404096
2001,4860,8,12404096
2011,4860,4,12404096
2012,4860,2,12404096
2014,4860,8,12404096
2015,4860,5,12404096
2016,4860,5,12404096
2003,4860,3,12404101
1995,4860,7,12404104
1980,4860,3,12404105
1981,4860,2,12404105
1984,4860,2,12404105
1987,4860,4,12404105
1989,4860,3,12404105
1994,4860,6,12404105
1996,4860,2,12404105
1997,4860,1,12404105
1998,4860,1,12404105
1999,4860,2,12404105
2000,4860,2,12404105
2001,4860,1,12404105
2002,4860,1,12404105
2003,4860,1,12404105
2004,4860,2,12404105
2005,4860,1,12404105
2006,4860,1,12404105
2007,4860,2,12404105
2008,4860,1,12404105
2009,4860,1,12404105
2011,4860,1,12404105
2012,4860,2,12404105
2013,4860,1,12404105
2015,4860,1,12404105
2016,4860,2,12404105
2011,4860,2,12404107
2012,4860,2,12404107
2013,4860,2,12404107
2014,4860,2,12404107
2016,4860,4,12404107
2011,4860,1,12404108
1989,4860,3,12404109
1995,4860,3,12404109
2000,4860,3,12404109
2010,4860,1,12404109
2013,4860,6,12404109
2014,4860,4,12404109
2016,4860,2,12404109
1980,4860,1,12404110
1989,4860,1,12404110
1990,4860,85,12404110
1991,4860,26,12404110
1992,4860,22,12404110
1993,4860,9,12404110
1994,4860,24,12404110
1995,4860,25,12404110
1996,4860,28,12404110
1997,4860,23,12404110
1998,4860,22,12404110
1999,4860,71,12404110
2011,4860,1,12404110
2016,4860,2,12404111
2006,4860,6,12404112
2008,4860,2,12404112
2009,4860,21,12404112
2011,4860,5,12404112
2012,4860,3,12404112
2014,4860,11,12404112
2015,4860,9,12404112
2016,4860,5,12404112
1997,4860,2,12404113
1998,4860,4,12404113
2007,4860,1,12404113
2009,4860,4,12404113
2011,4860,2,12404113
2012,4860,2,12404113
2013,4860,1,12404113
2015,4860,5,12404113
2016,4860,8,12404113
1998,4860,1,12404114
1999,4860,1,12404114
2000,4860,5,12404114
2001,4860,1,12404114
2002,4860,1,12404114
2004,4860,4,12404114
2005,4860,6,12404114
2006,4860,8,12404114
2007,4860,2,12404114
2008,4860,20,12404114
2009,4860,10,12404114
2010,4860,7,12404114
2011,4860,47,12404114
2012,4860,176,12404114
2013,4860,71,12404114
2015,4860,100,12404114
2016,4860,44,12404114
1991,4860,1,12404115
1995,4860,1,12404115
1997,4860,1,12404115
1998,4860,1,12404115
2000,4860,1,12404115
2003,4860,1,12404115
2008,4860,3,12404115
2009,4860,1,12404115
2011,4860,5,12404115
2012,4860,1,12404115
2013,4860,3,12404115
2014,4860,30,12404115
2015,4860,2,12404115
2016,4860,3,12404115
1992,4860,3,12404116
1994,4860,6,12404116
2002,4860,5,12404116
2003,4860,2,12404116
2006,4860,11,12404116
2007,4860,6,12404116
2008,4860,3,12404116
2009,4860,6,12404116
2010,4860,8,12404116
2011,4860,13,12404116
2012,4860,10,12404116
2014,4860,2,12404116
2016,4860,1,12404116
2006,4860,3,12404120
2007,4860,2,12404120
2008,4860,7,12404120
2010,4860,3,12404120
2012,4860,14,12404120
1989,4860,1,12404121
1992,4860,7,12404121
1997,5090,6,12404121
1998,4860,3,12404121
1999,4860,8,12404121
2000,4860,18,12404121
2001,4860,4,12404121
2002,4860,6,12404121
2003,4860,12,12404121
2005,4860,2,12404121
2006,4860,17,12404121
2006,5090,5,12404121
2008,4860,5,12404121
2009,4860,12,12404121
2010,4860,3,12404121
2011,4860,10,12404121
2012,4860,10,12404121
2013,4860,11,12404121
1994,4860,29,12404122
1995,4860,10,12404122
2011,4860,2,12404122
2012,4860,7,12404122
2013,4860,5,12404122
2015,4860,2,12404122
1990,4860,5,12404123
1990,5090,2,12404123
1991,4860,3,12404123
1992,4860,8,12404123
1993,4860,3,12404123
1994,4860,3,12404123
1995,4860,3,12404123
1998,4860,3,12404123
1998,5090,6,12404123
1999,4860,3,12404123
2002,4860,10,12404123
2003,4860,3,12404123
2004,4860,7,12404123
1976,4860,6,12404125
1980,4860,6,12404125
1989,4860,5,12404125
1995,4860,9,12404125
1996,4860,4,12404125
1997,4860,3,12404125
1998,4860,5,12404125
1999,4860,3,12404125
2000,4860,7,12404125
2001,4860,6,12404125
2002,4860,8,12404125
2003,4860,5,12404125
2004,4860,2,12404125
2005,4860,5,12404125
2007,4860,7,12404125
2008,4860,8,12404125
2009,4860,10,12404125
2010,4860,2,12404125
2011,4860,2,12404125
2012,4860,4,12404125
2013,4860,4,12404125
2014,4860,7,12404125
2015,4860,11,12404125
2016,4860,8,12404125
1999,4860,1,12404127
2007,4860,2,12404127
2008,4860,2,12404127
2010,4860,2,12404127
2011,4860,3,12404127
2012,4860,4,12404127
2013,4860,1,12404127
2014,4860,3,12404127
2015,4860,3,12404127
2016,4860,3,12404127
2002,4860,2,12404129
2007,4860,4,12404129
2012,5090,1,12404129
1990,4860,6,12404130
1992,4860,2,12404131
1993,4860,5,12404131
1994,4860,23,12404131
1995,4860,10,12404131
1996,4860,12,12404131
1997,4860,7,12404131
1998,4860,31,12404131
1999,4860,9,12404131
2000,4860,49,12404131
2001,4860,8,12404131
2002,4860,10,12404131
2003,4860,12,12404131
2004,4860,22,12404131
2005,4860,13,12404131
2006,4860,9,12404131
2007,4860,24,12404131
2008,4860,16,12404131
2009,4860,51,12404131
2010,4860,62,12404131
2003,4860,2,12404136
2004,4860,7,12404136
2005,4860,4,12404136
2006,4860,6,12404136
2008,4860,3,12404136
2009,4860,4,12404136
2010,4860,1,12404136
2011,4860,2,12404136
2012,4860,1,12404136
2014,4860,4,12404136
2015,4860,1,12404136
2016,4860,5,12404136
1999,4860,2,12404137
2000,4860,6,12404137
2001,4860,5,12404137
2016,4860,7,12404137
1995,4860,2,12404138
2003,4860,1,12404138
2005,4860,9,12404138
2006,4860,4,12404138
2007,4860,2,12404138
2008,4860,6,12404138
2009,4860,7,12404138
2010,4860,17,12404138
2011,4860,11,12404138
2012,4860,2,12404138
2013,4860,6,12404138
2014,4860,10,12404138
2015,4860,12,12404138
2016,4860,14,12404138
1999,4860,3,12404139
2000,4860,2,12404139
2003,4860,2,12404139
2004,4860,4,12404139
2005,4860,1,12404139
2007,4860,3,12404139
2009,4860,4,12404139
2012,4860,4,12404139
2013,4860,1,12404139
1989,4860,32,12404141
1990,4860,17,12404141
1991,4860,18,12404141
1992,4860,22,12404141
1993,4860,23,12404141
1993,5090,1,12404141
1994,4860,9,12404141
1995,4860,32,12404141
1996,4860,5,12404141
1997,4860,9,12404141
1998,4860,17,12404141
1999,4860,5,12404141
2000,4860,8,12404141
2001,4860,1,12404141
2002,4860,7,12404141
2003,4860,13,12404141
2004,4860,17,12404141
2005,4860,6,12404141
2006,4860,16,12404141
2007,4860,4,12404141
2008,4860,3,12404141
2009,4860,14,12404141
2010,4860,3,12404141
2001,4860,4,12404143
2002,4860,6,12404143
2003,4860,1,12404143
2007,4860,1,12404143
2008,4860,2,12404143
2009,4860,4,12404143
2010,4860,7,12404143
2011,4860,4,12404143
2012,4860,7,12404143
2013,4860,7,12404143
2014,4860,4,12404143
2016,4860,3,12404143
2001,4860,15,12404147
1994,4860,25,12404149
1995,4860,7,12404149
1997,4860,10,12404149
1999,4860,14,12404149
2000,4860,15,12404149
2002,4860,7,12404149
1985,4860,1,12404152
1986,4860,3,12404152
1987,4860,3,12404152
1988,4860,3,12404152
1992,4860,9,12404152
1993,4860,14,12404152
1999,4860,4,12404152
2000,4860,3,12404152
2009,4860,5,12404153
2010,4860,15,12404153
2012,4860,11,12404153
2004,4860,6,12404157
2005,4860,9,12404157
2006,4860,2,12404157
2007,4860,3,12404157
1975,5090,51,12404163
1990,4860,6,12404196
1991,4860,1,12404196
1992,4860,2,12404196
1995,4860,1,12404196
1998,4860,4,12404196
1999,4860,2,12404196
2000,4860,1,12404196
2004,4860,1,12404196
2006,4860,1,12404196
2007,4860,1,12404196
2010,4860,3,12404196
2011,4860,2,12404196
2014,4860,2,12404196
2015,4860,4,12404196
2016,4860,2,12404196
2007,4860,1,12404201
2008,4860,1,12404201
2009,4860,1,12404201
2011,4860,1,12404201
2012,4860,3,12404201
2015,4860,2,12404201
1995,4860,1,12404204
1997,4860,1,12404204
2002,4860,1,12404204
2003,4860,6,12404204
2004,4860,4,12404204
2005,4860,3,12404204
2007,4860,4,12404204
2008,4860,1,12404204
2009,4860,7,12404204
2012,4860,1,12404204
2014,4860,2,12404204
2000,4860,7,12404205
2001,4860,4,12404205
2008,4860,9,12404205
2009,4860,6,12404205
2010,4860,6,12404205
2011,4860,3,12404205
2015,4860,2,12404205
2016,4860,2,12404205
2015,4860,4,12404206
2007,4860,2,12404208
2010,4860,1,12404208
2012,4860,8,12404208
2014,4860,1,12404208
2015,4860,2,12404208
2016,4860,13,12404208
2007,4860,3,12404209
2008,4860,6,12404209
2009,4860,4,12404209
2010,4860,9,12404209
2011,4860,5,12404209
2012,4860,15,12404209
2013,4860,6,12404209
2014,4860,7,12404209
1994,4860,141,12404210
2004,4860,7,12404210
2005,4860,7,12404210
2006,4860,10,12404210
2007,4860,5,12404210
2008,4860,27,12404210
2009,4860,18,12404210
2010,4860,21,12404210
2011,4860,7,12404210
2012,4860,5,12404210
2013,4860,13,12404210
2014,4860,30,12404210
2015,4860,25,12404210
2016,4860,22,12404210
2011,4860,2,12404212
2014,4860,3,12404212
2015,4860,6,12404212
2004,4860,6,12404213
2012,4860,1,12404213
2014,4860,1,12404213
2000,4860,1,12404214
2006,4860,1,12404214
2011,4860,2,12404214
